id;title;year;genre;duration;country;director
tt0432283;Fantastic Mr. Fox;2009;Animation, Adventure, Comedy;87;USA, UK;Wes Anderson
tt0432314;Leningrad;2009;Drama, War;110;Russia, UK;Aleksandr Buravskiy
tt0433035;Real Steel;2011;Action, Drama, Family;127;USA, India;Shawn Levy
tt0433362;Daybreakers;2009;Action, Fantasy, Horror;98;Australia, USA;Michael Spierig, Peter Spierig
tt0433397;Satin;2011;Comedy, Drama, Music;84;USA;Christopher Olness
tt0433533;Caleuche: El llamado del Mar;2012;Drama, Fantasy, Horror;100;Chile;Jorge OlguÃ­n
tt0435651;The Giver;2014;Drama, Romance, Sci-Fi;97;South Africa, Canada, USA;Phillip Noyce
tt0435711;American Primitive;2009;Drama, Family;96;USA;Gwen Wynne
tt0435716;The Perfect Sleep;2009;Action, Drama, Romance;99;USA;Jeremy Alter
tt0435761;Toy Story 3;2010;Animation, Adventure, Comedy;103;USA;Lee Unkrich
tt0436339;G-Force;2009;Animation, Action, Adventure;88;USA;Hoyt Yeatman
tt0437405;Paper Man;2009;Comedy, Drama;110;USA;Kieran Mulroney, Michele Mulroney
tt0438488;Terminator Salvation;2009;Action, Sci-Fi;115;USA, Germany, UK, Italy;McG
tt0438894;Kisse Pyaar Karoon?;2009;Action, Comedy, Crime;123;India;Ajay Chandhok
tt0439801;SeguranÃ§a Nacional;2010;Action;86;Brazil;Roberto Carminati
tt0443272;Lincoln;2012;Biography, Drama, History;150;USA, India;Steven Spielberg
tt0443331;Milenge Milenge;2010;Drama, Romance;109;India;Satish Kaushik
tt0443465;Before We Go;2014;Comedy, Drama, Romance;95;USA;Chris Evans
tt0443533;The History of Love;2016;Drama, Romance, War;134;France, Belgium, Canada, Romania;Radu Mihaileanu
tt0445054;Les 7 jours du talion;2010;Crime, Drama, Horror;105;Canada;Daniel Grou
tt0446029;Scott Pilgrim vs. the World;2010;Action, Comedy, Fantasy;112;USA, UK, Canada, Japan;Edgar Wright
tt0448011;Knowing;2009;Action, Drama, Mystery;121;USA, UK, Australia;Alex Proyas
tt0448022;A Bird of the Air;2011;Drama, Romance;108;USA;Margaret Whitton
tt0448182;Yesterday Was a Lie;2009;Drama, Music, Mystery;89;USA;James Kerwin
tt0448694;Puss in Boots;2011;Animation, Action, Adventure;90;USA;Chris Miller
tt0449005;Diary of a Bad Lad;2010;Comedy, Crime;92;UK;Michael Booth
tt0450336;Town Creek;2009;Horror;90;USA;Joel Schumacher
tt0450405;Cirque du Freak: The Vampire's Assistant;2009;Action, Adventure, Fantasy;109;USA;Paul Weitz
