movie_id;males_votes;females_votes;votes_10;votes_9;votes_8;votes_7;votes_6;votes_5;votes_4;votes_3;votes_2;votes_1
tt7705790;1025;61;524;220;390;331;148;75;27;17;22;61
tt7707314;488;199;209;48;95;137;166;146;71;33;28;80
tt7708146;54;76;27;4;5;23;21;33;19;15;9;13
tt7709804;65;17;28;4;4;3;7;9;7;13;13;23
tt7711342;1383;53;813;92;94;74;148;181;135;141;109;637
tt7712746;148;23;18;3;4;9;7;24;23;42;49;72
tt7715192;102;22;14;3;1;10;15;15;16;28;15;33
tt7715202;6403;279;6039;834;829;801;603;439;208;177;198;1375
tt7715244;84;12;12;6;6;10;17;40;26;15;9;15
tt7715988;456;130;237;136;176;95;31;24;7;11;9;55
tt7717440;663;212;440;263;199;98;42;23;4;4;4;29
tt7720922;1949;182;1583;206;324;536;491;320;194;102;111;311
tt7721550;150;26;9;11;33;78;61;39;13;3;1;5
tt7722156;60;23;3;15;15;10;12;13;12;13;17;20
tt7722258;403;31;284;31;27;60;56;72;40;39;50;145
tt7723022;70;3;8;2;4;5;9;17;14;16;2;31
tt7725596;13212;1190;4979;5246;6386;3563;1009;317;99;61;60;258
tt7730102;424;44;47;16;52;106;116;109;74;32;27;61
tt7730492;66;15;16;4;2;17;34;27;18;7;3;5
tt7730928;75;25;432;355;143;77;16;17;4;5;3;100
tt7731512;137;83;39;16;30;32;91;45;6;4;6;19
tt7732486;58;47;94;20;6;7;6;5;2;1;6;22
tt7732754;210;68;56;40;50;56;39;32;16;8;6;25
tt7733426;115;42;21;16;53;82;62;9;6;2;1;7
tt7734738;110;17;20;14;34;35;26;11;2;2;0;2
tt7735502;257;49;24;24;89;160;94;28;11;7;7;11
tt7736104;48;5;5;0;1;3;11;24;20;7;2;31
tt7736144;178;39;35;37;58;46;46;15;7;5;6;30
tt7736488;67;19;37;3;2;6;5;10;4;5;6;62
tt7736536;51;34;8;6;9;11;25;12;13;5;4;37
tt7736564;58;24;20;6;6;17;16;18;4;4;1;30
tt7738450;5810;696;2066;1079;2066;2141;1084;606;278;174;122;261
tt7738594;416;22;97;60;121;185;88;47;18;4;6;18
tt7738784;6478;121;8791;613;346;165;75;49;33;23;25;498
tt7738930;433;102;334;36;82;110;69;55;39;14;9;77
tt7740284;216;58;20;26;65;92;70;28;15;9;5;14
tt7741530;79;8;9;2;6;4;8;13;18;13;13;33
tt7741602;28;3;24;184;286;173;2;2;0;0;1;10
tt7742704;148;14;65;33;47;36;24;13;5;1;3;4
tt7743588;116;17;10;2;2;12;25;38;28;18;19;23
tt7744802;200;92;37;19;45;93;93;58;27;9;8;26
tt7745044;180;155;48;63;132;86;53;17;5;2;2;3
tt7745068;2197;274;1322;527;880;715;304;134;47;36;21;67
tt7746986;261;27;83;91;109;80;33;14;6;2;3;8
tt7748226;171;43;985;2;8;24;57;43;33;18;18;73
tt7748244;8322;1876;3570;2610;3683;2395;948;458;210;127;119;398
tt7748426;3182;460;753;339;698;1163;969;563;252;155;105;221
